Country;Company Code;MaintPlant;Main WorkCtr;Functional Loc.;Description;Equipment;Description;Order Type;Order;Description;MaintActivType;Priority;Priority;Group;Group Counter;Created on;System status;User status;Oper.WorkCenter;Control key;Oper./Act.;Opr. short text;Work;Number;Normal duration;Norm.duratn un.;Actual work;Unit for work;Bas. start date;Basic fin. date;Sched. start;Sched. finish;Earl.start date;EarliestEndDate;Latest start;Lat.finish date;Actual start;Act.finish date;Op.SystemStatus;Oper.UserStatus
DE;465C;BS01;DE_SANDB;DB0411-066;WT SB68 Sandbank (4000397);012345678914;WT Sandbank ,SB68 (4000397);ZCS5;12345709;Inspection on Water Ingress;040;2;Normal;;;01-09-2017;REL  CCOK NMAT PRC  SETC;ZBNQ RFCO ZBCC ZBMC;DE_SANDB;ZMR1;0010;Inspection on Water Ingress;1,0;2;0,5;H;0,000;H;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;01-09-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-023;WT SB23 Sandbank (4000354);012345678911;WT Sandbank ,SB23 (4000354);ZCS5;12345710;Inspection on Water Ingress;040;2;Normal;;;04-09-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO;DE_SANDB;ZMR1;0010;Inspection on Water Ingress;2,0;2;1,0;H;0,000;H;04-09-2017;04-09-2017;04-09-2017;04-09-2017;04-09-2017;04-09-2017;04-09-2017;04-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-075;WT DT75 DanTysk (3601256);012345678912;WT Dan Tysk ,DT75 (3601256);ZCS5;12345711;A9B10191123 - Retrofit, yaw software 201;040;;;;;10-11-2017;REL  CCOK MACM PRC  SETC;ZBNQ PERF RECV ZBCC;DE_OFFDT;ZMR1;0010;A9B10191123 - Retrofit, yaw software 201;0,0;0;0,0;H;0,000;H;18-09-2017;18-09-2017;18-09-2017;18-09-2017;18-09-2017;18-09-2017;18-09-2017;18-09-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-061;WT SB63 Sandbank (4000392);012345678913;WT Sandbank ,SB63 (4000392);ZCS5;12345712;No Connection;040;3;Low;;;19-09-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO ZBMC;DE_SANDB;ZMR1;0010;No Connection;2,0;2;1,0;H;0,000;H;19-09-2017;19-09-2017;19-09-2017;19-09-2017;19-09-2017;19-09-2017;19-09-2017;19-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-064;WT DT64 DanTysk (3601245);012345678914;WT Dan Tysk ,DT64 (3601245);ZCS1;12345713;3,00_WT-BS01 3601245 Yearly Crane Inspec;020;;;CRANE;1;08-05-2016;REL  NMAT SETC;ZBNQ PERF RFCO ZBCC;DE_OFFDT;ZMR1;0010;Crane inspection;3,0;1;3,0;H;0,000;H;25-08-2017;30-09-2017;25-08-2017;30-09-2017;25-08-2017;30-09-2017;25-08-2017;30-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-064;WT DT64 DanTysk (3601245);012345678911;WT Dan Tysk ,DT64 (3601245);ZCS1;12345714;3,00_WT-BS01 3601245 Yearly Crane Inspec;020;;;;;08-05-2016;REL  NMAT SETC;ZBNQ PERF RFCO ZBCC;DE_OFFDT;ZMR1;0020;3,00_WT-BS01 3601245 Yearly Crane Inspec;3,0;1;3,0;H;0,000;H;25-08-2017;30-09-2017;25-08-2017;30-09-2017;25-08-2017;30-09-2017;25-08-2017;30-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-064;WT DT64 DanTysk (3601245);012345678912;WT Dan Tysk ,DT64 (3601245);ZCS1;12345715;3,00_WT-BS01 3601245 TMSE;020;;;TMSE;1;08-05-2016;REL  NMAT SETC;ZBNQ PERF RFCO ZBCC;DE_OFFDT;ZSMC;0010;Turbine mounted safety equipment;3,0;1;3,0;H;0,000;H;25-08-2017;30-09-2017;25-08-2017;30-09-2017;25-08-2017;30-09-2017;25-08-2017;30-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-064;WT DT64 DanTysk (3601245);012345678913;WT Dan Tysk ,DT64 (3601245);ZCS1;12345716;3,00_WT-BS01 3601245 TMSE;020;;;;;08-05-2016;REL  NMAT SETC;ZBNQ PERF RFCO ZBCC;DE_OFFDT;ZMR1;0020;3,00_WT-BS01 3601245 TMSE;3,0;1;3,0;H;0,000;H;25-08-2017;30-09-2017;25-08-2017;30-09-2017;25-08-2017;30-09-2017;25-08-2017;30-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-020;WT DT20 DanTysk (3601201);012345678914;WT Dan Tysk ,DT20 (3601201);ZCS1;12345717;3,00_WT-BS01 3601201 Yearly Crane Inspec;020;;;CRANE;1;02-10-2016;REL  NMAT SETC;ZBNQ PERF RECV RFCO;DE_OFFDT;ZMR1;0010;Crane inspection;3,0;1;3,0;H;0,000;H;01-09-2017;30-09-2017;01-09-2017;30-09-2017;01-09-2017;30-09-2017;01-09-2017;30-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-020;WT DT20 DanTysk (3601201);012345678911;WT Dan Tysk ,DT20 (3601201);ZCS1;12345718;3,00_WT-BS01 3601201 Yearly Crane Inspec;020;;;;;02-10-2016;REL  NMAT SETC;ZBNQ PERF RECV RFCO;DE_OFFDT;ZMR1;0020;3,00_WT-BS01 3601201 Yearly Crane Inspec;3,0;1;3,0;H;0,000;H;01-09-2017;30-09-2017;01-09-2017;30-09-2017;01-09-2017;30-09-2017;01-09-2017;30-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-012;WT DT12 DanTysk (3601193);012345678912;WT Dan Tysk ,DT12 (3601193);ZCS5;12345719;A9B10191123 - Retrofit, yaw software 201;040;;;;;10-11-2017;REL  CCOK MACM PRC  SETC;ZBNQ PERF RECV ZBCC;DE_OFFDT;ZMR1;0010;A9B10191123 - Retrofit, yaw software 201;0,0;0;0,0;H;0,000;H;30-09-2017;30-09-2017;30-09-2017;30-09-2017;30-09-2017;30-09-2017;30-09-2017;30-09-2017;;;REL;
DE;465C;BS01;DE_OFFDT;DB0388-012;WT DT12 DanTysk (3601193);012345678913;WT Dan Tysk ,DT12 (3601193);ZCS5;12345720;A9B10196140  Retrofit, sign f dehumidifi;040;;;;;10-11-2017;REL  CCOK GMPS MACM PRC  RESA SETC;ZBNQ PERF RFCO ZBCC;DE_OFFDT;ZMR1;0010;A9B10196140  Retrofit, sign f dehumidifi;0,0;0;0,0;H;0,000;H;30-09-2017;30-09-2017;30-09-2017;30-09-2017;30-09-2017;30-09-2017;30-09-2017;30-09-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-031;WT SB32 Sandbank (4000362);012345678914;WT Sandbank ,SB32 (4000362);ZCS5;12345721;Broken hose holder on pitch station tank;040;2;Normal;;;17-07-2017;REL  CCOK MACM PRC  SETC;ZBNQ PERF ZBA1 ZBPO;DE_SANDB;ZMR1;0010;A# Broken hose holder on pitch stat.tank;4,0;2;2,0;H;0,000;H;17-07-2017;15-10-2017;17-07-2017;15-10-2017;17-07-2017;15-10-2017;17-07-2017;15-10-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-026;WT SB26 Sandbank (4000357);012345678911;WT Sandbank ,SB26 (4000357);ZCS1;12345722;TMSE: Exchange Fire Extinguishers;020;3;Low;;;29-08-2017;REL  NMAT SETC;ZBNQ;DE_SANDB;ZMR1;0010;TMSE: Exchange Fire Extinguishers;0,5;1;0,5;H;0,000;H;25-08-2017;25-10-2017;25-08-2017;25-10-2017;25-08-2017;25-10-2017;25-08-2017;25-10-2017;;;REL;
DE;465C;BS01;DE_SANDB;DB0411-065;WT SB67 Sandbank (4000396);012345678912;WT Sandbank ,SB67 (4000396);ZCS5;12345723;PT100 sensors possible swapped;040;2;Normal;;;29-08-2017;REL  CCOK NMAT PRC  SETC;ZBNQ PERF RFCO;DE_SANDB;ZMR1;0010;PT100 sensors possible swapped;4,0;2;2,0;H;0,000;H;25-08-2017;25-10-2017;25-08-2017;25-10-2017;25-08-2017;25-10-2017;25-08-2017;25-10-2017;;;REL;
DE;465C;BS01;DE_OFFSB;DB0411-068;WT SB76 Sandbank (4000399);012345678913;WT Sandbank ,SB76 (4000399);ZCS1;12345724;WT-BS01 4000399 Service Maintenance;020;;;G4MK3R16;1;21-03-2017;CRTD MANC NTUP SETC;ZBNQ;DE_S_ALL;ZSMC;0010;J„hrlich;118,0;2;59,0;H;0,000;H;27-10-2017;27-10-2017;;;27-10-2017;27-10-2017;27-10-2017;27-10-2017;;;CRTD;
DE;465C;BS01;DE_OFFSB;DB0411-068;WT SB76 Sandbank (4000399);012345678914;WT Sandbank ,SB76 (4000399);ZCS1;12345725;WT-BS01 4000399 Service Maintenance;020;;;G4MK3R16;1;21-03-2017;CRTD MANC NTUP SETC;ZBNQ;DE_OFFSB;ZMR1;0070;12 Monate (nur zur ersten jahreswartung);0,0;0;0,0;;0,000;;27-10-2017;27-10-2017;;;27-10-2017;27-10-2017;27-10-2017;27-10-2017;;;CRTD;
DE;465C;BS01;DE_SANDB;DB0411-022;WT SB22 Sandbank (4000353);012345678911;WT Sandbank ,SB22 (4000353);ZCS1;12345726;TMSE: Echange Fire extinguisher;020;3;Low;;;06-09-2017;REL  NMAT SETC;ZBNQ;DE_SANDB;ZMR1;0010;TMSE: Echange Fire extinguisher;1,0;1;1,0;H;0,000;H;06-09-2017;06-11-2017;06-09-2017;06-11-2017;06-09-2017;06-11-2017;06-09-2017;06-11-2017;;;REL;
